id_cliente,nombre,empresa,industria,email,telefono,tamano_empresa,ingresos_anuales,presupuesto_TI,interes_producto,region
1,Timoteo,Alvarado-Laureano,Tecnología,espartachavez@trejo-brito.org,(001)338-9083x863,Grande,2933912,276242,Alto,Tlaxcala
2,Cristobal,"Molina, Ledesma y Cortés",Finanzas,ivancanales@olivares-calderon.com,940.781.6184,Pequeña,67314,4748,Alto,San Luis Potosí
3,Esperanza,"Despacho Gonzales, Campos y Olivares",Educación,maria-elena52@mota-fuentes.com,1-192-832-7648x35030,Pequeña,51853,3228,Medio,Puebla
4,Andrés,Industrias Mascareñas y Galindo,Retail,portiz@collazo.com,884.969.6532x87101,Pequeña,104104,8367,Alto,Durango
5,Luisa,Olmos-Olivárez,Educación,qtafoya@carrero.net,514-627-0482,Mediana,1939387,158742,Medio,Chiapas
6,Héctor,Grupo Niño y Cuellar,Finanzas,zamudioirene@almaraz.com,039.117.1822,Mediana,367335,39175,Medio,Yucatán
7,Óliver,"Galarza, Tirado y Fernández",Retail,leonor57@casarez.com,1-098-393-0103,Pequeña,185682,16745,Bajo,Coahuila de Zaragoza
8,Isabel,Serrano-Granados,Manufactura,yolanda73@laboratorios.info,763.116.5667,Pequeña,131178,6164,Bajo,Campeche
9,Verónica,Ballesteros-Padrón,Manufactura,bianca33@industrias.biz,(473)178-1080,Pequeña,92694,4335,Alto,Colima
10,Lorenzo,Rosales y Gallardo y Asociados,Educación,kbahena@acevedo.info,(687)234-3098,Pequeña,74651,5683,Medio,Campeche
11,Rocío,Sandoval y Tamez S.A.,Tecnología,saucedaariadna@despacho.com,193-990-9169x985,Mediana,390650,41451,Alto,Morelos
12,Leonardo,Laboratorios Macías-Reyna,Salud,antonia07@benavides-terrazas.com,425-135-4278x4980,Grande,4109014,435875,Alto,Oaxaca
13,Gabino,Carbajal-Uribe,Tecnología,georginalerma@laboratorios.com,740-164-0052x4278,Pequeña,128940,14877,Bajo,Tamaulipas
14,Bruno,Córdova-Trejo,Salud,negronrodolfo@club.com,053.315.8692,Grande,6258584,249661,Medio,Michoacán de Ocampo
15,Liliana,Duarte e Hijos,Tecnología,lilia34@proyectos.com,337.543.3036x541,Mediana,702167,30956,Bajo,Nayarit
16,Nancy,"Terán, Meraz y Amaya",Educación,ibarradiego@despacho.com,569.816.9340x60883,Pequeña,43657,2948,Bajo,San Luis Potosí
17,Sofía,Castellanos-Macías S. R.L. de C.V.,Educación,yeni65@lucero.com,(629)946-8044x369,Mediana,1608629,92242,Bajo,Puebla
18,Margarita,Industrias Rojas y de la O,Salud,limonnoelia@caban-gollum.com,320.037.9176,Pequeña,164221,7063,Alto,Hidalgo
19,Juan Carlos,Pabón y Guerrero S.A.,Retail,carbajalluz@grupo.com,(317)278-8957x9868,Pequeña,18234,493,Alto,Tlaxcala
20,Francisco Javier,Proyectos Lebrón y Soliz,Manufactura,rgriego@bernal.com,1-581-223-6231,Mediana,1893443,73921,Alto,Tabasco
21,Anel,Proyectos Peres y Ordóñez,Retail,velasquezjuan@aguayo.biz,(889)373-4670x656,Mediana,1727174,172819,Alto,Guanajuato
22,Oswaldo,Orta S. R.L. de C.V.,Tecnología,botellotrinidad@cervantez.com,653-755-6464,Mediana,723882,46555,Bajo,Colima
23,Paola,Montez S.A.,Manufactura,arevaloalta-gracia@grupo.com,719-374-5299,Pequeña,53597,3674,Alto,Chihuahua
24,Dalia,"Despacho Véliz, Alvarez y Marrero",Manufactura,tosorio@despacho.com,1-491-905-8651x85067,Mediana,1844315,89495,Bajo,Chiapas
25,María Luisa,Club del Valle-Solorio,Salud,sergio87@pulido.com,147.379.9650,Pequeña,25331,2370,Alto,Zacatecas
26,Joaquín,"Corporacin Lemus, Ybarra y Leal",Finanzas,sierraelias@guardado-palomo.info,(377)701-4363x4957,Grande,2672023,71749,Alto,Quintana Roo
27,María Elena,"Corporacin Heredia, Godoy y Casárez",Educación,ignaciocasares@grupo.com,989.413.4352x40824,Pequeña,119897,9395,Bajo,Baja California Sur
28,Carmen,Candelaria y Alcala S. R.L. de C.V.,Educación,mariano77@enriquez-avalos.info,01671902294,Pequeña,186079,9303,Medio,Colima
29,Rubén,Proyectos Solorzano y Olivares,Retail,tquintero@magana.org,133.412.3281x20679,Mediana,477781,51641,Alto,Yucatán
30,María Elena,González-Jaime,Tecnología,luzcarrero@laboratorios.com,00249947174,Mediana,1591226,181229,Alto,Sonora
31,Rufino,Preciado e Hijos,Finanzas,salma40@giron-velasquez.org,+49(0)2787429671,Grande,4876288,432769,Medio,Yucatán
32,Isabela,Cantú-Cruz S.A. de C.V.,Tecnología,ssaldivar@urbina.com,1-451-680-8760,Mediana,292456,15604,Alto,Hidalgo
33,Socorro,Ávalos y Figueroa S.A. de C.V.,Educación,gracielaquezada@casas.org,248.086.1317,Pequeña,29724,3281,Bajo,Chihuahua
34,Modesto,"Industrias Laboy, Pelayo y Rosas",Retail,dguerrero@club.net,214.658.4044x99727,Pequeña,90808,9979,Alto,Yucatán
35,Pedro,"Reséndez, Medina y Esparza",Manufactura,reinaolivera@proyectos.com,766.270.2895x17187,Grande,9416659,1105362,Bajo,Aguascalientes
36,Cristal,Rodarte-Jaimes,Educación,sofia61@tejeda-olivares.info,(091)343-1611x7240,Grande,9248294,934770,Medio,Baja California Sur
37,Anabel,"Corporacin Noriega, Prado y Concepción",Manufactura,olgapatino@grupo.org,937-923-7474x074,Pequeña,62316,3425,Alto,Guanajuato
38,Timoteo,"Henríquez, Reyes y Madrid",Salud,juan-carlosrosas@granado-olivarez.org,944.064.0909,Mediana,1545284,92667,Bajo,Zacatecas
39,Gonzalo,Industrias Mora y Gaona,Salud,silvanohenriquez@laboratorios.com,1-095-214-5623x285,Pequeña,38417,2437,Bajo,Nayarit
40,Francisco,Lucero y Mireles y Asociados,Retail,rochaantonio@proyectos.net,160.481.7549,Grande,3594496,87844,Medio,Sinaloa
41,José Emilio,González-Rodríguez,Retail,valentinitzel@laboratorios.com,612-004-7113x82675,Pequeña,184125,15156,Bajo,Tabasco
42,Linda,Saiz-Pantoja,Salud,alonso53@rael.com,05850643171,Grande,4480135,146629,Medio,Jalisco
43,Alejandra,Merino S.A.,Salud,raulflorez@urrutia-franco.org,1-352-904-2284,Mediana,1051601,108706,Medio,Guerrero
44,Jorge,Industrias Mejía y Alemán,Educación,gabinoavila@laboratorios.com,177.589.1783x90847,Grande,5969373,220682,Alto,Baja California
45,Bianca,Quiroz y Benavides A.C.,Tecnología,sandra21@corporacin.com,984-789-6118x367,Pequeña,48627,1197,Medio,México
46,Barbara,Ponce-Marroquín e Hijos,Educación,jose-luis27@bustos-briones.com,(152)809-8851x656,Pequeña,181981,3740,Alto,Campeche
47,Natividad,Grupo Rosario y Garrido,Manufactura,montezpilar@carrero-leiva.com,(899)809-4024x455,Mediana,479632,41611,Bajo,Aguascalientes
48,Ángela,Laboratorios Angulo-Bustos,Finanzas,jose-manuelperea@mondragon.com,599.102.2901x47679,Mediana,743564,77320,Medio,Tlaxcala
49,Nelly,Montaño-Posada,Retail,limonrosalia@soto.com,900-343-2445x107,Pequeña,81228,4221,Bajo,Tamaulipas
50,Estela,Becerra-Osorio y Asociados,Salud,pulidoaida@bernal.biz,1-664-160-5297x5161,Mediana,893908,59527,Alto,Michoacán de Ocampo
51,Karla,Ortiz-Marín,Tecnología,estela52@segovia-carrera.net,355-231-2432x9212,Mediana,1200299,137163,Medio,Zacatecas
52,Raúl,Mata-Corona S.C.,Tecnología,rodartemargarita@proyectos.com,147-700-5411x9986,Mediana,1218465,71750,Bajo,Veracruz de Ignacio de la Llave
53,Alma,Vázquez y Escobedo S.A. de C.V.,Salud,jsanchez@raya.com,1-182-037-7889x25546,Mediana,1441289,124383,Alto,Tabasco
54,Rufino,Mesa A.C.,Finanzas,barbara86@corporacin.com,1-254-629-1486x5281,Mediana,886508,58039,Medio,Tamaulipas
55,Aida,Mares-Dueñas S.A.,Tecnología,mercedes33@grupo.com,880-592-9622x2927,Pequeña,151405,18167,Medio,Baja California Sur
56,Zoé,Club Linares y Rangel,Tecnología,oswaldogriego@proyectos.org,1-746-886-2392x407,Pequeña,62261,5113,Alto,San Luis Potosí
57,Carlota,"Despacho Cruz, Laboy y Rascón",Educación,marco-antoniobustos@proyectos.com,(068)536-1530x515,Grande,7093961,651479,Alto,Durango
58,Mariana,Proyectos Rodarte-Rangel,Tecnología,betancourtaida@grupo.biz,04341036971,Grande,3663710,290201,Bajo,Chihuahua
59,Susana,Laboratorios Colón y Lovato,Retail,nabreu@guajardo-vasquez.com,(185)188-8880x67065,Mediana,1587310,42691,Bajo,Morelos
60,Jonás,Montaño-Guajardo,Manufactura,verdugoisabela@despacho.com,277-221-7043x03054,Mediana,1532918,139082,Medio,Sonora
61,Alejandro,Corporacin Munguía y Arreola,Educación,georgina15@pabon.com,(775)841-6169,Mediana,1113465,88239,Medio,Guerrero
62,Benjamín,Menchaca-Lucero,Manufactura,marisela96@laboratorios.info,+59(6)4016582029,Grande,7605171,407938,Medio,Tlaxcala
63,Verónica,Nájera-Olivera S. R.L. de C.V.,Retail,zedillocristian@nevarez.com,1-285-654-3102x7868,Grande,7881955,595711,Bajo,Chihuahua
64,Ernesto,"Laboratorios Salas, Feliciano y Casillas",Manufactura,antoniarazo@laboratorios.com,(518)844-2258x31323,Grande,7971366,516683,Alto,Zacatecas
65,Renato,Robles-Ureña S.A.,Salud,barrazahoracio@roque.biz,1-125-177-8528x9226,Mediana,1192499,87162,Medio,Campeche
66,Daniel,Corporacin Garza-Montemayor,Finanzas,arcelia43@grupo.net,299-229-9590x01094,Pequeña,199080,10263,Bajo,Jalisco
67,Serafín,Salinas e Hijos,Salud,tomas47@proyectos.info,00276773592,Grande,6945813,553435,Alto,Puebla
68,Jaime,"Cedillo, Nevárez y Serrato",Finanzas,matosfabiola@casillas.com,104-696-3259,Grande,6480649,307384,Alto,Puebla
69,Mayte,Manzanares y Salinas A.C.,Manufactura,orozconatalia@guajardo.com,+04(7)9748016245,Mediana,1203936,65097,Alto,Sonora
70,Ramiro,Corporacin Uribe y Lomeli,Salud,olveranatalia@urbina.org,(912)165-5852x39868,Pequeña,49111,5643,Alto,Baja California Sur
71,Mario,Córdova y Zelaya S. R.L. de C.V.,Retail,itzelmatos@club.com,887-947-0551x6940,Mediana,1128453,119634,Medio,Yucatán
72,Esperanza,Vergara S.C.,Finanzas,ofeliaolivares@proyectos.org,1-130-756-2636x89702,Pequeña,72879,5480,Alto,Jalisco
73,Humberto,Club Tejada-Monroy,Educación,zoe49@espinosa.net,(344)375-7584,Grande,4371613,463219,Alto,Nuevo León
74,Leonardo,Concepción-López A.C.,Retail,arcelia57@laboratorios.net,842-199-3308,Grande,3249813,333635,Alto,México
75,Mariana,Chapa-Adame,Retail,lorenzorolon@feliciano.com,019-380-2620x67240,Grande,5376486,376607,Medio,Aguascalientes
76,Israel,"Club Tórrez, Soria y Salcido",Educación,nataliarocha@grupo.info,420-549-3296x68516,Pequeña,70011,7252,Bajo,Chiapas
77,Abraham,"Club Gracia, Ramón y Jaramillo",Salud,hermelinda99@ibarra.com,1-301-742-6841x45933,Mediana,580610,36920,Medio,Distrito Federal
78,Samuel,Pelayo-Ulloa S.C.,Educación,fernandoybarra@sotelo-ramon.net,1-519-108-8398x22587,Mediana,1063282,73947,Bajo,Chihuahua
79,Rodolfo,Bustos y Segovia S.C.,Tecnología,rendoncesar@reyes.net,1-406-403-9106x518,Mediana,877954,102736,Medio,Campeche
80,Alonso,"Club Dueñas, Cervántez y Peres",Manufactura,juana76@blanco.com,02868230047,Mediana,1505757,124286,Alto,Tamaulipas
81,Fernando,Montemayor y Correa S.A. de C.V.,Salud,brunoaparicio@aleman.com,09079030673,Pequeña,175156,17503,Bajo,Jalisco
82,Gregorio,Proyectos Velásquez y Matos,Finanzas,eva42@club.com,(926)870-5685x6624,Pequeña,179793,12556,Bajo,Sinaloa
83,Espartaco,"Proyectos Colón, Rivas y Baeza",Manufactura,jpena@club.com,1-175-183-0469,Grande,3213344,125516,Bajo,Baja California Sur
84,Rodrigo,Club Frías y Mercado,Tecnología,adela33@roque-guerra.org,1-363-854-6785x44587,Mediana,1920816,92744,Medio,Veracruz de Ignacio de la Llave
85,Mariano,Figueroa-Nevárez S.A. de C.V.,Retail,karmenta@laboratorios.com,(996)423-5369x3785,Mediana,923777,69460,Bajo,Morelos
86,Tomás,Rincón y de la Garza e Hijos,Tecnología,dario28@enriquez.com,010-062-3120x3875,Pequeña,117682,6098,Medio,Campeche
87,Sergio,Saavedra y Alemán A.C.,Salud,balcala@industrias.biz,(118)233-9845,Pequeña,141672,7536,Alto,Nayarit
88,Arcelia,Palomino-Rico S. R.L. de C.V.,Finanzas,espartacomacias@aparicio-caban.biz,687-002-1765x918,Mediana,1573175,43235,Medio,Baja California Sur
89,Raquel,Juárez y Arredondo A.C.,Salud,pamela90@proyectos.com,1-261-429-3968x5621,Grande,9208684,534112,Medio,Quintana Roo
90,Marco Antonio,Proyectos Benítez y Molina,Educación,bmena@proyectos.com,(662)961-9431x1426,Pequeña,71543,6327,Medio,Durango
91,Ilse,Carbajal-Bustos A.C.,Educación,maria54@centeno-brito.com,(788)861-0158x199,Mediana,548892,27415,Alto,Puebla
